cluster_id,normalised_title_year,record_id_a,date_a,url_a,fresh_words_a,fresh_sha256_a,extractor_a,record_id_b,date_b,url_b,fresh_words_b,fresh_sha256_b,extractor_b,sequence_similarity,token_set_jaccard,five_word_shingle_jaccard,similarity_signal,final_duplicate_decision,final_duplicate_reason
MEDIA-TITLEYEAR-0001,amcu outdoes num demands 150 pay rise for entry level gold miners | 2013,SEC-MEDIA-0184,2013-06-25,https://www.engineeringnews.co.za/article/amcu-outdoes-num-demands-150-pay-rise-for-entry-level-gold-miners-2013-06-25,1354,4c3ca3a8c0ce4af8d8a422c8fddbcff6970c7ebca8a6e193b94a1fdfb7995fb7,trafilatura,SEC-MEDIA-0185,2013-07-05,https://www.engineeringnews.co.za/article/amcu-outdoes-num-demands-150-pay-rise-for-entry-level-gold-miners-2013-07-05,1362,76dd43dcca537b223c719b6a445a462ddb3203f6970b1e89077ffb93e062d6db,trafilatura,0.988943,0.977819,0.859012,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0002,its business unusual at improving lonmin munroe | 2013,DISC-MEDIA-0412,2013-03-05,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-05,1652,15c84d05b2fb2153671ef02d2fdc917719b2aef91a0492d44a84cb2cb5cabf76,trafilatura,DISC-MEDIA-0413,2013-03-15,https://www.engineeringnews.co.za/article/its-business-unusual-at-improving-lonmin-munroe-2013-03-15,1644,48d28e7773c871ee3ba93ce9b5966aa11c104742062a4d78bfd0102c5e21985f,trafilatura,0.989186,0.977679,0.866151,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0003,labour court puts temporary hold on amcus planned gold strike | 2014,SEC-MEDIA-0389,2014-01-22,https://www.engineeringnews.co.za/article/labour-court-puts-temporary-hold-on-amcus-planned-gold-strike-2014-01-22,703,00b53da1bc9c8dac04ada3db01b01bef10fa5fcc198625eeb61def99b6d6c1cc,trafilatura,SEC-MEDIA-0390,2014-01-31,https://www.engineeringnews.co.za/article/labour-court-puts-temporary-hold-on-amcus-planned-gold-strike-2014-01-31,665,bdf0a61ce298a722d55cb2cd80b004bafb516a481e35a472e8b5ec85c42833f1,trafilatura,0.966351,0.913333,0.780381,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0004,lonmin hands over new marikana primary school to basic education dept | 2018,DISC-MEDIA-0456,2018-03-23,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-03-23,660,15124f2b4f9072568eb6dcc584d5b9b96c99f36efa0bf173dfc3f3cf4d0ce671,trafilatura,DISC-MEDIA-0457,2018-04-06,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-04-06,649,45f95751bb7ff20d487df496711462e51f5e3ca642dffab9a88a38e9474f1a4d,trafilatura,0.968089,0.927632,0.739065,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0005,lonmin inks landmark bee deals with traditional community | 2014,DISC-MEDIA-0459,2014-07-30,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,1140,fc11007861699253489423afb813523928aa0d73308bf07e39fabcda65eb388f,trafilatura,DISC-MEDIA-0460,2014-08-08,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-08-08,1138,a8643ee0d9d7d0432a834cd16c684b29bd7d3ea6a0ef9935a9a6fc3738277618,trafilatura,0.990515,0.968109,0.791917,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0006,lonmin plans to cut 4 100 workers as it closes platinum mines | 2019,DISC-MEDIA-0476,2019-05-21,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-21,425,4eea0608c203e0751d2fd68ab32abc63b07892d3d48737bb663b850f5e42f115,trafilatura,DISC-MEDIA-0477,2019-05-31,https://www.engineeringnews.co.za/article/lonmin-plans-to-cut-4-100-workers-as-it-closes-platinum-mines-2019-05-31,264,8973bcea578d2ec08aa0a90209ac0b2097de6b0b1a91f46a2a29250ce3c2627c,trafilatura,0.787037,0.510526,0.546512,moderate_similarity_distinct_update_possible,,
MEDIA-TITLEYEAR-0007,lonmin share price rises as company reports higher fy production earnings | 2013,DISC-MEDIA-0503,2013-11-11,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-11,845,3a85373166841d25650dd29fe888616a96f8fd9f8494a7f524622634896bac82,trafilatura,DISC-MEDIA-0504,2013-11-22,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-22,835,5eb75f2bbaa5dc0d51b22beb3cb6d01c45b2d32c1231c8f78db50681ae6a0c06,trafilatura,0.952538,0.929919,0.767251,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0008,lonmin undertakes refinancing delivers on results promise | 2018,DISC-MEDIA-0525,2018-10-22,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,1360,d8eae2bbc8f0cc281457b5b507064eba01c3abe616e847ba8442c9988e66be81,trafilatura,DISC-MEDIA-0526,2018-11-02,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-11-02,1267,73cd869d7103912d0f4532db3091e97b9467d65a9d40574da08ce434925411f8,trafilatura,0.933284,0.883588,0.705637,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0009,lonmin unveils design proposal for marikana memorial park showcases new apartments | 2017,DISC-MEDIA-0527,2017-08-15,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,907,c4e7db0801cbcbe986814952268d6ffdb185cfbcc4e426e0f577cf811a162255,trafilatura,DISC-MEDIA-0528,2017-08-25,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-25,909,1fcde05ad8500044512e8c5b5845e259548000fc668d5252319e4a0e9de9cf3c,trafilatura,0.982832,0.959427,0.838674,high_similarity_requires_republication_review,,
MEDIA-TITLEYEAR-0010,nothing off table as lonmin pursues value in low platinum price environment | 2017,DISC-MEDIA-0589,2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,2194,6c5a142a47678359c868ce86d22295377652056c425c73a223f61a5f1851c716,trafilatura,DISC-MEDIA-0590,2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07-1,2112,33863e24db7103047ddac9d221794da4b4098a5ff9517a01b72de0fff9049376,trafilatura,0.960943,0.960432,0.906149,high_similarity_requires_republication_review,,
