similarity,candidate_id_a,candidate_id_b,title_a,title_b,year_a,year_b,publisher_a,publisher_b,url_a,url_b,decision
0.999565,MEDIA-043,DISC-MEDIA-0650,"Sibanye-Stillwater to acquire embattled Lonmin, completes PGMs strategy",Sibanye Stillwater To Acquire Embattled Lonmin In All Share Offer,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-stillwater-to-acquire-embattled-lonmin-in-all-share-offer-2017-12-14,https://www.engineeringnews.co.za/article/sibanye-stillwater-to-acquire-embattled-lonmin-in-all-share-offer-2017-12-14,manual_review_near_duplicate
0.999533,MEDIA-042,DISC-MEDIA-0589,Nothing off table as Lonmin pursues value in low platinum price environment,Nothing Off Table As Lonmin Pursues Value In Low Platinum Price Environment,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,https://www.engineeringnews.co.za/article/nothing-off-table-as-lonmin-pursues-value-in-low-platinum-price-environment-2017-04-07,manual_review_near_duplicate
0.999425,expanded_media_candidates_batch1__EXP-MEDIA-034,DISC-MEDIA-0680,"Uphold overwhelming wish of workers to return, pleads Lonmin",Uphold Overwhelming Wish Of Workers To Return Pleads Lonmin,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/uphold-overwhelming-wish-of-workers-to-return-pleads-lonmin-2014-05-12,https://www.engineeringnews.co.za/article/uphold-overwhelming-wish-of-workers-to-return-pleads-lonmin-2014-05-12,manual_review_near_duplicate
0.999417,MEDIA-048,DISC-MEDIA-0525,"Lonmin undertakes refinancing, delivers on results promise",Lonmin Undertakes Refinancing Delivers On Results Promise,2018,2018,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,manual_review_near_duplicate
0.999290,DISC-MEDIA-0635,WEB-MEDIA-004,Sibanye Continues To Make Reparations At Marikana,Sibanye continues to make reparations at Marikana,2022,2022,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,https://www.miningweekly.com/article/sibanye-continues-to-make-reparations-at-marikana-2022-07-15,manual_review_near_duplicate
0.999086,expanded_media_candidates_batch2__EXP-MEDIA-047,DISC-MEDIA-0681,Violent protestors demand 1 500 new jobs from struggling Lonmin,Violent Protestors Demand 1 500 New Jobs From Struggling Lonmin,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/violent-protestors-demand-1-500-new-jobs-from-struggling-lonmin-2017-05-11,https://www.engineeringnews.co.za/article/violent-protestors-demand-1-500-new-jobs-from-struggling-lonmin-2017-05-11,manual_review_near_duplicate
0.999075,MEDIA-033,DISC-MEDIA-0665,Strike-hit mothers have no food to put on the table – Lonmin,Strike Hit Mothers Have No Food To Put On The Table Lonmin,2014,2014,Mining Weekly,Engineering News,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,manual_review_near_duplicate
0.998947,SAT5-MEDIA-003,WEB-MEDIA-005,Rights organisations are seeking accountability for failed Marikana housing,Human rights orgs are seeking accountability for failed Marikana housing,2022,2022,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/human-rights-orgs-are-seeking-accountability-for-failed-marikana-housing-2022-08-16,https://www.miningweekly.com/article/human-rights-orgs-are-seeking-accountability-for-failed-marikana-housing-2022-08-16,manual_review_near_duplicate
0.998938,MEDIA-018,DISC-MEDIA-0640,Sibanye hosts Marikana memorial lecture,Sibanye Hosts Marikana Memorial Lecture,2020,2020,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,https://www.engineeringnews.co.za/article/sibanye-hosts-marikana-memorial-lecture-2020-08-14,manual_review_near_duplicate
0.998915,MEDIA-008,SAT6-MEDIA-001,Lonmin commemorates deceased mineworkers describes massacre as catalyst for change,"Lonmin commemorates deceased mineworkers, describes massacre as ‘catalyst for change’",2013,2013,Mining Weekly,Engineering News / Creamer Media,https://www.miningweekly.com/article/lonmin-commemorates-deceased-mineworkers-describes-massacre-as-catalyst-for-change-2013-08-23,https://www.engineeringnews.co.za/article/lonmin-commemorates-deceased-mineworkers-describes-massacre-as-catalyst-for-change-2013-08-23,manual_review_near_duplicate
0.998868,DISC-MEDIA-0578,WEB-MEDIA-003,Marikanamassacre Commemorated With Second Yearly Memorial Lecture,Marikana massacre commemorated with second yearly memorial lecture,2021,2021,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/marikanamassacre-commemorated-with-second-yearly-memorial-lecture-2021-08-17,https://www.miningweekly.com/article/marikanamassacre-commemorated-with-second-yearly-memorial-lecture-2021-08-17,manual_review_near_duplicate
0.998800,DISC-MEDIA-0637,SAT-MEDIA-013,Sibanye Files Court Papers To Oppose Application To Halt R52Bn Lonmin Merger,Sibanye files court papers to oppose application to halt R5.2bn Lonmin merger,2019,2019,Engineering News,Mining Weekly,https://www.engineeringnews.co.za/article/sibanye-files-court-papers-to-oppose-application-to-halt-r52bn-lonmin-merger-2019-08-02,https://www.miningweekly.com/article/sibanye-files-court-papers-to-oppose-application-to-halt-r52bn-lonmin-merger-2019-08-02,manual_review_near_duplicate
0.998761,MEDIA-055,DISC-MEDIA-0652,Sibanye to hold webcast series to aid healing and renewal in Marikana,Sibanye To Hold Webcast Series To Aid Healing And Renewal In Marikana,2021,2021,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-to-hold-webcast-series-to-aid-healing-and-renewal-in-marikana-2021-08-11,https://www.engineeringnews.co.za/article/sibanye-to-hold-webcast-series-to-aid-healing-and-renewal-in-marikana-2021-08-11,manual_review_near_duplicate
0.998653,MEDIA-049,DISC-MEDIA-0644,"Sibanye, Lonmin merger enters final stretch as AMCU appeal is dismissed",Sibanye Lonmin Merger Enters Final Stretch As Amcu Appeal Is Dismissed,2019,2019,Mining Weekly,Engineering News,https://www.miningweekly.com/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,https://www.engineeringnews.co.za/article/sibanye-lonmin-merger-enters-final-stretch-as-amcu-appeal-is-dismissed-2019-05-17,manual_review_near_duplicate
0.998651,MEDIA-014,SAT5-MEDIA-002,Lonmin affirms Farlam report,Lonmin affirms Farlam report,2015,2015,Mining Weekly,Engineering News / Creamer Media,https://www.miningweekly.com/article/lonmin-affirms-farlam-report-2015-08-21,https://www.engineeringnews.co.za/article/lonmin-affirms-farlam-report-2015-08-21,manual_review_near_duplicate
0.998582,MEDIA-016,DISC-MEDIA-0527,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,2017,2017,Mining Weekly,Engineering News,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,manual_review_near_duplicate
