cluster_id,normalised_title,year,candidate_id,title,publisher,source_url,text_sha256,decision
1,farlam finds against lonmin recommends enforced housing delivery,2015,MEDIA-040,"Farlam finds against Lonmin, recommends enforced housing delivery",Mining Weekly,https://www.miningweekly.com/article/farlam-finds-against-lonmin-recommends-enforced-housing-delivery-2015-06-25,aba4d988ecb1f984c9db7485d4c394169b2fa8f19b35715076ae73c371b0fff0,manual_review_same_title_year
1,farlam finds against lonmin recommends enforced housing delivery,2015,SAT5-MEDIA-001,"Farlam finds against Lonmin, recommends enforced housing delivery",Mining Weekly / Creamer Media,https://www.engineeringnews.co.za/article/marikana-report-2015-06-25,5daae97ce56bdc2ba52a5141a66727177ac6e37a5cef91fad9bf2d334b7937b4,manual_review_same_title_year
2,lonmin buys remaining pandora stake,2017,DISC-MEDIA-0428,Lonmin Buys Remaining Pandora Stake,Engineering News,https://www.engineeringnews.co.za/article/lonmin-buys-remaining-pandora-stake-2017-05-15,50b96db2a81a1c05de819e4d6b46dd7650faf189e68eb4c20a1a1ef06f2d37fe,manual_review_same_title_year
2,lonmin buys remaining pandora stake,2017,DISC-MEDIA-0429,Lonmin Buys Remaining Pandora Stake,Engineering News,https://www.engineeringnews.co.za/article/lonmin-buys-remaining-pandora-stake-2017-05-26,72612fe2be88b873023c3bce05932a01f1f72be4533a10914f501b0ea0992b1a,manual_review_same_title_year
3,lonmin donates 50 ha of land for residential development,2013,MEDIA-031,Lonmin donates 50 ha of land for residential development,Mining Weekly,https://www.miningweekly.com/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-10-29,f15bdc75caa4292e77d6090dee3e8431cc21e5b4870a1731eee6262c42bf6bc2,manual_review_same_title_year
3,lonmin donates 50 ha of land for residential development,2013,DISC-MEDIA-0450,Lonmin Donates 50 Ha Of Land For Residential Development,Engineering News,https://www.engineeringnews.co.za/article/lonmin-donates-50-ha-of-land-for-residential-development-2013-11-08,5b77705aa00d0f47da883a3d3bba42452c77a81cb27f78d9c53233b1da3e8ba1,manual_review_same_title_year
4,lonmin hands over new marikana primary school to basic education dept,2018,expanded_media_candidates_batch1__EXP-MEDIA-038,Lonmin hands over New Marikana primary school to Basic Education dept,Engineering News / Creamer Media,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-04-06,732405582e86fb32437288606677f61dc2c4a3ffb6608274b255ca929e19bedb,manual_review_same_title_year
4,lonmin hands over new marikana primary school to basic education dept,2018,DISC-MEDIA-0456,Lonmin Hands Over New Marikana Primary School To Basic Education Dept,Engineering News,https://www.engineeringnews.co.za/article/lonmin-hands-over-new-marikana-primary-school-to-basic-education-dept-2018-03-23,b6088813afe9a5a62e7025421fddfbe7664f2bc07cee01033717d17ac59d4b7e,manual_review_same_title_year
5,lonmin inks landmark bee deals with traditional community,2014,DISC-MEDIA-0459,Lonmin Inks Landmark Bee Deals With Traditional Community,Engineering News,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-07-30,2b52a2f3771954cc9c0611a8c3969710cd78951799e379b6777994c8e36ea6df,manual_review_same_title_year
5,lonmin inks landmark bee deals with traditional community,2014,DISC-MEDIA-0460,Lonmin Inks Landmark Bee Deals With Traditional Community,Engineering News,https://www.engineeringnews.co.za/article/lonmin-inks-landmark-bee-deals-with-traditional-community-2014-08-08,ac249da6eb8907a731cc494bd8bba38ff9d1a2ccabe4d53746951ae0936de30a,manual_review_same_title_year
6,lonmin paid 1678m in taxes royalties during 2018 financial year,2019,DISC-MEDIA-0474,Lonmin Paid 1678M In Taxes Royalties During 2018 Financial Year,Engineering News,https://www.engineeringnews.co.za/article/lonmin-paid-1678m-in-taxes-royalties-during-2018-financial-year-2019-04-01,3c79cd7fd288bf5ff97605e3bacb99e4b4eac84392cc4494813ee33bcaed24f5,manual_review_same_title_year
6,lonmin paid 1678m in taxes royalties during 2018 financial year,2019,DISC-MEDIA-0475,Lonmin Paid 1678M In Taxes Royalties During 2018 Financial Year,Engineering News,https://www.engineeringnews.co.za/article/lonmin-paid-1678m-in-taxes-royalties-during-2018-financial-year-2019-04-12,f10c0c672437d7d755772948d85372db62075d4ed72e23749e6576aa79f96049,manual_review_same_title_year
7,lonmin returns to profitability but lowers 2017 sales guidance,2016,DISC-MEDIA-0491,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,Engineering News,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-14,2a6a9c63268796b28c4723b86cfea9718078d38e00db9f063450d8da4c181740,manual_review_same_title_year
7,lonmin returns to profitability but lowers 2017 sales guidance,2016,DISC-MEDIA-0492,Lonmin Returns To Profitability But Lowers 2017 Sales Guidance,Engineering News,https://www.engineeringnews.co.za/article/lonmin-returns-to-profitability-but-lowers-2017-sales-guidance-2016-11-25,f278d13c87b1adf7b32af0727f508ad5c949b5c1d4c787ac4097b10ef498697c,manual_review_same_title_year
8,lonmin share price rises as company reports higher fy production earnings,2013,DISC-MEDIA-0503,Lonmin Share Price Rises As Company Reports Higher Fy Production Earnings,Engineering News,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-11,0c66a811dc9e7796021e8e33301a7f702134b92fcb838b114ac0de9de3348eda,manual_review_same_title_year
8,lonmin share price rises as company reports higher fy production earnings,2013,DISC-MEDIA-0504,Lonmin Share Price Rises As Company Reports Higher Fy Production Earnings,Engineering News,https://www.engineeringnews.co.za/article/lonmin-share-price-rises-as-company-reports-higher-fy-production-earnings-2013-11-22,50eb56565dcf8f3b204c99ef6cc07eebca303c8e9ebcbbb0166061de0a30f2d7,manual_review_same_title_year
9,lonmin shares rise on r2bn cost cut plan with worker help preventing shaft shut,2014,DISC-MEDIA-0506,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-10,08dfe647702c0f2e888f2a1b3161e2618b9d0d21fc77ef7467a3e651d465318c,manual_review_same_title_year
9,lonmin shares rise on r2bn cost cut plan with worker help preventing shaft shut,2014,DISC-MEDIA-0507,Lonmin Shares Rise On R2Bn Cost Cut Plan With Worker Help Preventing Shaft Shut,Engineering News,https://www.engineeringnews.co.za/article/lonmin-shares-rise-on-r2bn-cost-cut-plan-with-worker-help-preventing-shaft-shut-2014-11-21,93195fb7ccbf503850fcc2130b69599aeb366f4f5b369c32d8f9c89daea918c4,manual_review_same_title_year
10,lonmin sheds 1 400 jobs as cost cutting programme gets under way,2015,DISC-MEDIA-0508,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,Engineering News,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-08-27,a84fdc8aa68342b752638d3bea3bc319a1015a8fbc5f49d899763812974d10d5,manual_review_same_title_year
10,lonmin sheds 1 400 jobs as cost cutting programme gets under way,2015,DISC-MEDIA-0509,Lonmin Sheds 1 400 Jobs As Cost Cutting Programme Gets Under Way,Engineering News,https://www.engineeringnews.co.za/article/lonmin-sheds-1-400-jobs-as-cost-cutting-programme-gets-under-way-2015-09-04,f5f08a6ae4bd2a7a01c30d727d0430bc1e995898a7077e7c1afa0a2b62a81e36,manual_review_same_title_year
11,lonmin to derecognise smaller unions in favour of amcu,2013,expanded_media_candidates__EXP-MEDIA-003,Lonmin to derecognise smaller unions in favour of AMCU,Mining Weekly,https://www.miningweekly.com/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-23,391256dff7e126cd5c5c9921a02b821e3a84ef5f2d478bde6dcb9f9e4ffbf941,manual_review_same_title_year
11,lonmin to derecognise smaller unions in favour of amcu,2013,DISC-MEDIA-0514,Lonmin To Derecognise Smaller Unions In Favour Of Amcu,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-derecognise-smaller-unions-in-favour-of-amcu-2013-08-14,1cf4a827ead5f48a877c8a05883fde5ec661dd5d49be75bfcb8477e55937e97f,manual_review_same_title_year
12,lonmin to sell excess processing capacity implement other measures to ensure sustainability,2017,DISC-MEDIA-0519,Lonmin To Sell Excess Processing Capacity Implement Other Measures To Ensure Sustainability,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-sell-excess-processing-capacity-implement-other-measures-to-ensure-sustainability-2017-08-07,5150204a7fbaf8ba5e2d7b85a1c43b7adfd6823843e7f496590ff7514b596463,manual_review_same_title_year
12,lonmin to sell excess processing capacity implement other measures to ensure sustainability,2017,DISC-MEDIA-0520,Lonmin To Sell Excess Processing Capacity Implement Other Measures To Ensure Sustainability,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-sell-excess-processing-capacity-implement-other-measures-to-ensure-sustainability-2017-08-18,24c3f0263eb1a984133fcd23612c81acd80d9ee0043641eb57193b21a3deb683,manual_review_same_title_year
13,lonmin to shut idle high cost operations,2015,DISC-MEDIA-0521,Lonmin To Shut Idle High Cost Operations,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-shut-idle-high-cost-operations-2015-07-24,16e157e2b503c93cc45c621442a022cc9dc557fce42c6ad2595158013c71fd0e,manual_review_same_title_year
13,lonmin to shut idle high cost operations,2015,DISC-MEDIA-0522,Lonmin To Shut Idle High Cost Operations,Engineering News,https://www.engineeringnews.co.za/article/lonmin-to-shut-idle-high-cost-operations-2015-08-07,95222750a8a9336182f2ed31aeecb7c6f70926e8b326eeb005496d6e4620acdb,manual_review_same_title_year
14,lonmin undertakes refinancing delivers on results promise,2018,MEDIA-048,"Lonmin undertakes refinancing, delivers on results promise",Mining Weekly,https://www.miningweekly.com/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-10-22,7494c609004d6dc2ee02157a889141687cd472ff8baf6a3a5feb8506b0bd7940,manual_review_same_title_year
14,lonmin undertakes refinancing delivers on results promise,2018,DISC-MEDIA-0526,Lonmin Undertakes Refinancing Delivers On Results Promise,Engineering News,https://www.engineeringnews.co.za/article/lonmin-undertakes-refinancing-delivers-on-results-promise-2018-11-02,0a9983d8ecc58756b3a35a129bec19fdafa4ba6918cfc034463402cb593fdfde,manual_review_same_title_year
15,lonmin unveils design proposal for marikana memorial park showcases new apartments,2017,MEDIA-016,Lonmin unveils design proposal for Marikana memorial park showcases new apartments,Mining Weekly,https://www.miningweekly.com/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-15,83def0e825670814873daa068fcc12af8e098db976df5e2603884e4305ec6136,manual_review_same_title_year
15,lonmin unveils design proposal for marikana memorial park showcases new apartments,2017,DISC-MEDIA-0528,Lonmin Unveils Design Proposal For Marikana Memorial Park Showcases New Apartments,Engineering News,https://www.engineeringnews.co.za/article/lonmin-unveils-design-proposal-for-marikana-memorial-park-showcases-new-apartments-2017-08-25,41390521e7ec37623662b31eeb083951d485b3bfe1454888daead1ce2b20d783,manual_review_same_title_year
16,lonmins cfo to exit,2016,DISC-MEDIA-0534,Lonmins Cfo To Exit,Engineering News,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-12,2950a046ad87bdb1be58060169cec15d20cddd2a3c2cc9545d799bd8506b1ff0,manual_review_same_title_year
16,lonmins cfo to exit,2016,DISC-MEDIA-0535,Lonmins Cfo To Exit,Engineering News,https://www.engineeringnews.co.za/article/lonmins-cfo-to-exit-2016-04-22,1ca5bfab1aebf7c97b7e60c71272d2e6d65c425e9970e7dac85de019804229e3,manual_review_same_title_year
17,lonmins refined platinum output plummets on smelter shutdowns,2015,DISC-MEDIA-0538,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,Engineering News,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-01-29,a1fa425b392d03510d462dab459c40ac43afbb30cb9fd49d725e4008d2317265,manual_review_same_title_year
17,lonmins refined platinum output plummets on smelter shutdowns,2015,DISC-MEDIA-0539,Lonmins Refined Platinum Output Plummets On Smelter Shutdowns,Engineering News,https://www.engineeringnews.co.za/article/lonmins-refined-platinum-output-plummets-on-smelter-shutdowns-2015-02-06,9094fc5fc909f7dc6200aed6ef7f88fbe68c7e19b33f3411d73ae72932389c65,manual_review_same_title_year
18,magara takes the reins at lonmin furnace restarted,2013,DISC-MEDIA-0549,Magara Takes The Reins At Lonmin Furnace Restarted,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-01,17b4a6ea9bedaca24a1545e92d0d0cf825585652607c490f4ad7823341ff8970,manual_review_same_title_year
18,magara takes the reins at lonmin furnace restarted,2013,DISC-MEDIA-0550,Magara Takes The Reins At Lonmin Furnace Restarted,Engineering News,https://www.engineeringnews.co.za/article/magara-takes-the-reins-at-lonmin-furnace-restarted-2013-07-12,97bb08dfd619fd92322a2f415ac81806e2ab69495f8935082aeb2d518bef1f34,manual_review_same_title_year
