candidate_id,status,title,year,publisher,metadata_source,source_url,final_url,http_status,content_type,retrieval_method,raw_bytes,extraction_method,pages,text_chars,text_words,error
EXP-CORP-006,acquired_no_text,Marikana Renewal Fact Sheet 2020,2020,Sibanye-Stillwater,expanded_corporate_candidates_batch1.csv,https://reports.sibanyestillwater.com/2020/download/SSW-FS20-marikana-renewal.pdf,https://reports.sibanyestillwater.com/2020/download/SSW-FS20-marikana-renewal.pdf,200,text/html,http,212,pypdf_error:PdfStreamError,0,0,0,
EXP-CORP-007,acquired_no_text,Social and Labour Plans: Summary of Projects in South Africa 2021,2021,Sibanye-Stillwater,expanded_corporate_candidates_batch1.csv,https://reports.sibanyestillwater.com/2021/download/SSW-FS21-SLP-summary.pdf?v=0.572,https://reports.sibanyestillwater.com/2021/download/SSW-FS21-SLP-summary.pdf?v=0.572,200,text/html,http,212,pypdf_error:PdfStreamError,0,0,0,
EXP-CORP-008,acquired_no_text,Sibanye-Stillwater Group Impact Report 2022,2022,Sibanye-Stillwater,expanded_corporate_candidates_batch1.csv,https://reports.sibanyestillwater.com/2022/download/SSW-IMPACT22.pdf,https://reports.sibanyestillwater.com/2022/download/SSW-IMPACT22.pdf,200,text/html,http,212,pypdf_error:PdfStreamError,0,0,0,
EXP-CORP-009,acquired_no_text,Sibanye-Stillwater Group Impact Supplement 2023,2023,Sibanye-Stillwater,expanded_corporate_candidates_batch1.csv,https://reports.sibanyestillwater.com/2023/downloads/ssw-Impact23.pdf,https://reports.sibanyestillwater.com/2023/downloads/ssw-Impact23.pdf,200,text/html,http,212,pypdf_error:PdfStreamError,0,0,0,
EXP-CORP-010,acquired_no_text,Social and Labour Plans: Summary of Projects in South Africa 2023,2023,Sibanye-Stillwater,expanded_corporate_candidates_batch1.csv,https://reports.sibanyestillwater.com/2023/downloads/ssw-FS23-SLP-summary.pdf,https://reports.sibanyestillwater.com/2023/downloads/ssw-FS23-SLP-summary.pdf,200,text/html,http,212,pypdf_error:PdfStreamError,0,0,0,
CORP-NEWS-004,acquired_low_text,Conclusion of S189 consultation process at the Marikana operations,2020,Sibanye-Stillwater,expanded_corporate_candidates_news_releases.csv,https://www.pressebox.com/pressrelease/swiss-resource-capital-ag/Conclusion-of-S189-consultation-process-at-the-Marikana-operations/boxid/988847,https://www.pressebox.com/pressrelease/swiss-resource-capital-ag/Conclusion-of-S189-consultation-process-at-the-Marikana-operations/boxid/988847,200,text/html,http,117003,trafilatura,,499,78,
CORP-SAT-005,acquired_low_text,4th Annual Marikana Commemoration Lecture,2023,Sibanye-Stillwater,expanded_corporate_candidates_saturation.csv,https://www.sibanyestillwater.com/features/2023/4th-annual-marikana-lecture/,https://www.sibanyestillwater.com/features/2023/4th-annual-marikana-lecture/,200,text/html,http,179149,trafilatura,,360,59,
EXP-GOV-001,failed,Release of the Marikana Commission report,2015,The Presidency / South African Government,expanded_government_candidates_batch1.csv,https://www.gov.za/news/speeches/president-jacob-zuma-release-marikana-report-25-jun-2015,https://www.gov.za/news/speeches/president-jacob-zuma-release-marikana-report-25-jun-2015,,,,0,,,0,0,"ReadTimeout: HTTPSConnectionPool(host='www.gov.za', port=443): Read timed out. (read timeout=30)"
GOV-SAT-001,failed,Government on Marikana related litigation,2023,South African Government / GCIS,expanded_government_candidates_saturation.csv,https://www.gov.za/news/media-statements/government-marikana-related-litigation-17-aug-2023,https://www.gov.za/news/media-statements/government-marikana-related-litigation-17-aug-2023,,,,0,,,0,0,"ConnectionError: HTTPSConnectionPool(host='www.gov.za', port=443): Max retries exceeded with url: /news/media-statements/government-marikana-related-litigation-17-aug-2023 (Caused by NewConnectionError(""HTTPSConnection(host='www.gov.za', port=443): Failed to establish a new connection: [Errno 111] Connection refused""))"
WEB-GOV-001,failed,Minister Nathi Nhleko says closure needed over Marikana,2015,South African Police Service / South African Government,expanded_government_candidates_web.csv,https://www.gov.za/news/media-statements/minister-nathi-nhleko-says-closure-needed-over-marikana-12-aug-2015,https://www.gov.za/news/media-statements/minister-nathi-nhleko-says-closure-needed-over-marikana-12-aug-2015,,,,0,,,0,0,"ConnectionError: HTTPSConnectionPool(host='www.gov.za', port=443): Max retries exceeded with url: /news/media-statements/minister-nathi-nhleko-says-closure-needed-over-marikana-12-aug-2015 (Caused by NewConnectionError(""HTTPSConnection(host='www.gov.za', port=443): Failed to establish a new connection: [Errno 111] Connection refused""))"
WEB-GOV-004,failed,Government commemorates the Marikana tragedy,2022,South African Government,expanded_government_candidates_web.csv,https://www.gov.za/news/media-statements/government-commemorates-marikana-tragedy-16-aug-2022,https://www.gov.za/news/media-statements/government-commemorates-marikana-tragedy-16-aug-2022,,,,0,,,0,0,"ConnectionError: HTTPSConnectionPool(host='www.gov.za', port=443): Max retries exceeded with url: /news/media-statements/government-commemorates-marikana-tragedy-16-aug-2022 (Caused by NewConnectionError(""HTTPSConnection(host='www.gov.za', port=443): Failed to establish a new connection: [Errno 111] Connection refused""))"
