candidate_id,review_priority,evidence_class,title,year,publication_date_from_url,publisher,url,targeted_fetch_status,retrieved_text_words,retrieved_text_sha256,retrieved_lonmin_mentions,retrieved_sibanye_mentions,case_terms,case_mentions_total,event_terms,event_distinct_terms,social_terms,social_distinct_terms,corporate_terms,corporate_distinct_terms,evidence_note,review_decision,review_reason_code,review_note
SEC-MEDIA-0001,1,strong_case_context_supported,Down With Amcu And Malema Cosatu And Mk Sing From The Same Song Sheet,2012,2012-10-15,Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-15-down-with-amcu-and-malema-cosatu-and-mk-sing-from-the-same-song-sheet/,retrieved_extracted,871,c7cac2e941e12ec09829f61f3676b0bb247bc3d95968f5fb358917ad06f1aada,0,0,marikana,4,strike;worker_miner;police;shooting_death;union,5,,0,,0,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0115,1,strong_case_context_supported,From The Nums Ashes Amcu Will Rise And Rise,2012,2012-10-19,Daily Maverick,https://www.dailymaverick.co.za/opinionista/2012-10-19-from-the-nums-ashes-amcu-will-rise-and-rise/,retrieved_extracted,1149,cbb8e18b8df74aa71f554e089e2d4f8c84bc5cb9e25d9841fba44428d7eb00cb,1,0,marikana,7,strike;worker_miner;police;shooting_death;wage;union,6,housing,1,share_price;exploration_project,2,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0002,1,strong_case_context_supported,Amcu The Champion Of Nationalisation Sort Of,2013,2013-01-18,Daily Maverick,https://www.dailymaverick.co.za/article/2013-01-18-amcu-the-champion-of-nationalisation-sort-of/,retrieved_extracted,1045,80e18065115f3ec576acda8d3c345d4cf925e32479d9b6419340e6c8dab66af1,0,0,marikana,1,strike;worker_miner;shooting_death;union;protest_unrest,5,commission_inquiry,1,transaction;exploration_project,2,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0003,1,strong_case_context_supported,Rustenburg Amcu And Num Call A Truce For Now,2013,2013-02-20,Daily Maverick,https://www.dailymaverick.co.za/article/2013-02-20-rustenburg-amcu-and-num-call-a-truce-for-now/,retrieved_extracted,1275,9e0f739cb9585507147798b32cc12c4eccaa08f82dbcf1054529539e4452250f,1,0,marikana,4,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,7,commission_inquiry,1,earnings_results,1,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0004,1,strong_case_context_supported,The Numamcu Cold War Moves To Bargaining Councils,2013,2013-04-09,Daily Maverick,https://www.dailymaverick.co.za/article/2013-04-09-the-numamcu-cold-war-moves-to-bargaining-councils/,retrieved_extracted,1109,1ad98502f846ee3bae7aefbf8b33faa6d940336d48be662206ed9143b93045d3,6,0,marikana,5,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,7,commission_inquiry,1,transaction,1,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0005,1,strong_case_context_supported,Negotiating Season Amcus Headache Mathunjwas Migraine,2013,2013-05-14,Daily Maverick,https://www.dailymaverick.co.za/article/2013-05-14-negotiating-season-amcus-headache-mathunjwas-migraine/,retrieved_extracted,1281,0c658ab76a08d742469b0abebee453e87bbe214a0138a26101ac017b06ba4a1a,2,0,marikana,5,strike;worker_miner;police;shooting_death;wage;union;protest_unrest,7,justice_accountability,1,share_price,1,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0006,1,strong_case_context_supported,Anglo Platinum Strike Still Looms,2013,2013-05-17,Daily Maverick,https://www.dailymaverick.co.za/article/2013-05-17-anglo-platinum-strike-still-looms/,retrieved_extracted,1864,162c201230f041b094d3c1b4b92bf5f9654a5881c5c096cc402240530d4f22e2,0,0,marikana,1,strike;worker_miner;wage;union;protest_unrest,5,housing;community,2,earnings_results;funding_debt;transaction;exploration_project;commodity_market,5,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0007,1,strong_case_context_supported,Agreement For A Sustainable Mining Industry Amcu Needs More Time,2013,2013-07-04,Daily Maverick,https://www.dailymaverick.co.za/article/2013-07-04-agreement-for-a-sustainable-mining-industry-amcu-needs-more-time/,retrieved_extracted,1053,b100cf746a40cddf01af16dc4fa9ea310d0b7fc3e40fe68d8cc7af004dc89faf,3,0,marikana,1,worker_miner;police;wage;union,4,housing,1,earnings_results,1,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0184,1,strong_case_context_supported,Amcu Outdoes Num Demands 150 Pay Rise For Entry Level Gold Miners,2013,2013-06-25,Engineering News,https://www.engineeringnews.co.za/article/amcu-outdoes-num-demands-150-pay-rise-for-entry-level-gold-miners-2013-06-25,retrieved_extracted,1356,a4444295e8b25dad35a61bff11f2da44c1e2d0071715608ed5bf7e28462aaa9c,1,1,marikana,1,strike;worker_miner;shooting_death;wage;union,5,housing,1,share_price;earnings_results,2,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
SEC-MEDIA-0185,1,strong_case_context_supported,Amcu Outdoes Num Demands 150 Pay Rise For Entry Level Gold Miners,2013,2013-07-05,Engineering News,https://www.engineeringnews.co.za/article/amcu-outdoes-num-demands-150-pay-rise-for-entry-level-gold-miners-2013-07-05,retrieved_extracted,1364,ed5de97bd35df840ba3060a9999b9387eda3e36ad778bfc5213911037336c621,1,1,marikana,1,strike;worker_miner;shooting_death;wage;union,5,housing,1,share_price;earnings_results,2,Body contains a high-specificity Marikana case term reinforced by labour/event/social/governance context.,,,
