stakeholder_group,criterion,recovered_documents,relevant_documents,A_sj
government,NPV,315,0,0.0
government,IRR,315,0,0.0
government,Geological Feasibility,315,0,0.0
government,Market Stability,315,0,0.0
government,Local Employment,315,164,0.5206349206349207
government,Community Infrastructure,315,85,0.2698412698412698
investor,NPV,144,12,0.08333333333333333
investor,IRR,144,3,0.020833333333333332
investor,Geological Feasibility,144,9,0.0625
investor,Market Stability,144,9,0.0625
investor,Local Employment,144,109,0.7569444444444444
investor,Community Infrastructure,144,100,0.6944444444444444
community,NPV,33,0,0.0
community,IRR,33,0,0.0
community,Geological Feasibility,33,0,0.0
community,Market Stability,33,0,0.0
community,Local Employment,33,17,0.5151515151515151
community,Community Infrastructure,33,21,0.6363636363636364
labour,NPV,242,0,0.0
labour,IRR,242,1,0.004132231404958678
labour,Geological Feasibility,242,1,0.004132231404958678
labour,Market Stability,242,0,0.0
labour,Local Employment,242,230,0.9504132231404959
labour,Community Infrastructure,242,123,0.5082644628099173
NGO,NPV,32,1,0.03125
NGO,IRR,32,1,0.03125
NGO,Geological Feasibility,32,4,0.125
NGO,Market Stability,32,1,0.03125
NGO,Local Employment,32,18,0.5625
NGO,Community Infrastructure,32,9,0.28125
