min_matched_sentences,min_distinct_families,stakeholder_group,criterion,recovered_documents,relevant_documents,A_sj
1,1,government,NPV,320,0,0.0
1,1,government,IRR,320,0,0.0
1,1,government,Geological Feasibility,320,52,0.1625
1,1,government,Market Stability,320,0,0.0
1,1,government,Local Employment,320,262,0.81875
1,1,government,Community Infrastructure,320,159,0.496875
1,1,investor,NPV,146,28,0.1917808219178082
1,1,investor,IRR,146,15,0.10273972602739725
1,1,investor,Geological Feasibility,146,38,0.2602739726027397
1,1,investor,Market Stability,146,33,0.22602739726027396
1,1,investor,Local Employment,146,136,0.9315068493150684
1,1,investor,Community Infrastructure,146,128,0.8767123287671232
1,1,community,NPV,33,2,0.06060606060606061
1,1,community,IRR,33,1,0.030303030303030304
1,1,community,Geological Feasibility,33,8,0.24242424242424243
1,1,community,Market Stability,33,0,0.0
1,1,community,Local Employment,33,26,0.7878787878787878
1,1,community,Community Infrastructure,33,28,0.8484848484848485
1,1,labour,NPV,244,4,0.01639344262295082
1,1,labour,IRR,244,12,0.04918032786885246
1,1,labour,Geological Feasibility,244,29,0.11885245901639344
1,1,labour,Market Stability,244,13,0.05327868852459016
1,1,labour,Local Employment,244,243,0.9959016393442623
1,1,labour,Community Infrastructure,244,165,0.6762295081967213
1,1,NGO,NPV,32,2,0.0625
1,1,NGO,IRR,32,2,0.0625
1,1,NGO,Geological Feasibility,32,8,0.25
1,1,NGO,Market Stability,32,4,0.125
1,1,NGO,Local Employment,32,24,0.75
1,1,NGO,Community Infrastructure,32,15,0.46875
2,1,government,NPV,320,0,0.0
2,1,government,IRR,320,0,0.0
2,1,government,Geological Feasibility,320,19,0.059375
2,1,government,Market Stability,320,0,0.0
2,1,government,Local Employment,320,196,0.6125
2,1,government,Community Infrastructure,320,111,0.346875
2,1,investor,NPV,146,16,0.1095890410958904
2,1,investor,IRR,146,6,0.0410958904109589
2,1,investor,Geological Feasibility,146,15,0.10273972602739725
2,1,investor,Market Stability,146,10,0.0684931506849315
2,1,investor,Local Employment,146,125,0.8561643835616438
2,1,investor,Community Infrastructure,146,115,0.7876712328767124
2,1,community,NPV,33,0,0.0
2,1,community,IRR,33,0,0.0
2,1,community,Geological Feasibility,33,2,0.06060606060606061
2,1,community,Market Stability,33,0,0.0
2,1,community,Local Employment,33,19,0.5757575757575758
2,1,community,Community Infrastructure,33,23,0.696969696969697
2,1,labour,NPV,244,0,0.0
2,1,labour,IRR,244,1,0.004098360655737705
2,1,labour,Geological Feasibility,244,8,0.03278688524590164
2,1,labour,Market Stability,244,1,0.004098360655737705
2,1,labour,Local Employment,244,239,0.9795081967213115
2,1,labour,Community Infrastructure,244,136,0.5573770491803278
2,1,NGO,NPV,32,2,0.0625
2,1,NGO,IRR,32,1,0.03125
2,1,NGO,Geological Feasibility,32,8,0.25
2,1,NGO,Market Stability,32,1,0.03125
2,1,NGO,Local Employment,32,21,0.65625
2,1,NGO,Community Infrastructure,32,9,0.28125
2,2,government,NPV,320,0,0.0
