variant,stakeholder_group,criterion,recovered_documents,relevant_documents,A_sj
primary_preregistered,government,NPV,318,0,0.0
primary_preregistered,government,IRR,318,0,0.0
primary_preregistered,government,Geological Feasibility,318,0,0.0
primary_preregistered,government,Market Stability,318,0,0.0
primary_preregistered,government,Local Employment,318,168,0.5283018867924528
primary_preregistered,government,Community Infrastructure,318,89,0.279874213836478
primary_preregistered,investor,NPV,146,12,0.0821917808219178
primary_preregistered,investor,IRR,146,2,0.0136986301369863
primary_preregistered,investor,Geological Feasibility,146,8,0.0547945205479452
primary_preregistered,investor,Market Stability,146,8,0.0547945205479452
primary_preregistered,investor,Local Employment,146,117,0.8013698630136986
primary_preregistered,investor,Community Infrastructure,146,110,0.7534246575342466
primary_preregistered,community,NPV,33,0,0.0
primary_preregistered,community,IRR,33,0,0.0
primary_preregistered,community,Geological Feasibility,33,0,0.0
primary_preregistered,community,Market Stability,33,0,0.0
primary_preregistered,community,Local Employment,33,17,0.5151515151515151
primary_preregistered,community,Community Infrastructure,33,21,0.6363636363636364
primary_preregistered,labour,NPV,244,0,0.0
primary_preregistered,labour,IRR,244,1,0.004098360655737705
primary_preregistered,labour,Geological Feasibility,244,1,0.004098360655737705
primary_preregistered,labour,Market Stability,244,0,0.0
primary_preregistered,labour,Local Employment,244,235,0.9631147540983607
primary_preregistered,labour,Community Infrastructure,244,129,0.5286885245901639
primary_preregistered,NGO,NPV,32,1,0.03125
primary_preregistered,NGO,IRR,32,1,0.03125
primary_preregistered,NGO,Geological Feasibility,32,4,0.125
primary_preregistered,NGO,Market Stability,32,1,0.03125
primary_preregistered,NGO,Local Employment,32,18,0.5625
primary_preregistered,NGO,Community Infrastructure,32,9,0.28125
employment_strict,government,NPV,318,0,0.0
employment_strict,government,IRR,318,0,0.0
employment_strict,government,Geological Feasibility,318,0,0.0
employment_strict,government,Market Stability,318,0,0.0
employment_strict,government,Local Employment,318,0,0.0
employment_strict,government,Community Infrastructure,318,89,0.279874213836478
employment_strict,investor,NPV,146,12,0.0821917808219178
employment_strict,investor,IRR,146,2,0.0136986301369863
employment_strict,investor,Geological Feasibility,146,8,0.0547945205479452
employment_strict,investor,Market Stability,146,8,0.0547945205479452
employment_strict,investor,Local Employment,146,10,0.0684931506849315
employment_strict,investor,Community Infrastructure,146,110,0.7534246575342466
employment_strict,community,NPV,33,0,0.0
employment_strict,community,IRR,33,0,0.0
employment_strict,community,Geological Feasibility,33,0,0.0
employment_strict,community,Market Stability,33,0,0.0
employment_strict,community,Local Employment,33,0,0.0
employment_strict,community,Community Infrastructure,33,21,0.6363636363636364
employment_strict,labour,NPV,244,0,0.0
employment_strict,labour,IRR,244,1,0.004098360655737705
employment_strict,labour,Geological Feasibility,244,1,0.004098360655737705
employment_strict,labour,Market Stability,244,0,0.0
employment_strict,labour,Local Employment,244,7,0.028688524590163935
employment_strict,labour,Community Infrastructure,244,129,0.5286885245901639
employment_strict,NGO,NPV,32,1,0.03125
employment_strict,NGO,IRR,32,1,0.03125
employment_strict,NGO,Geological Feasibility,32,4,0.125
employment_strict,NGO,Market Stability,32,1,0.03125
employment_strict,NGO,Local Employment,32,5,0.15625
employment_strict,NGO,Community Infrastructure,32,9,0.28125
finance_broad_employment_strict,government,NPV,318,3,0.009433962264150943
finance_broad_employment_strict,government,IRR,318,0,0.0
finance_broad_employment_strict,government,Geological Feasibility,318,0,0.0
finance_broad_employment_strict,government,Market Stability,318,0,0.0
finance_broad_employment_strict,government,Local Employment,318,0,0.0
finance_broad_employment_strict,government,Community Infrastructure,318,89,0.279874213836478
finance_broad_employment_strict,investor,NPV,146,38,0.2602739726027397
finance_broad_employment_strict,investor,IRR,146,12,0.0821917808219178
finance_broad_employment_strict,investor,Geological Feasibility,146,8,0.0547945205479452
finance_broad_employment_strict,investor,Market Stability,146,8,0.0547945205479452
finance_broad_employment_strict,investor,Local Employment,146,10,0.0684931506849315
finance_broad_employment_strict,investor,Community Infrastructure,146,110,0.7534246575342466
finance_broad_employment_strict,community,NPV,33,3,0.09090909090909091
finance_broad_employment_strict,community,IRR,33,0,0.0
finance_broad_employment_strict,community,Geological Feasibility,33,0,0.0
finance_broad_employment_strict,community,Market Stability,33,0,0.0
finance_broad_employment_strict,community,Local Employment,33,0,0.0
finance_broad_employment_strict,community,Community Infrastructure,33,21,0.6363636363636364
finance_broad_employment_strict,labour,NPV,244,12,0.04918032786885246
finance_broad_employment_strict,labour,IRR,244,4,0.01639344262295082
finance_broad_employment_strict,labour,Geological Feasibility,244,1,0.004098360655737705
finance_broad_employment_strict,labour,Market Stability,244,0,0.0
finance_broad_employment_strict,labour,Local Employment,244,7,0.028688524590163935
finance_broad_employment_strict,labour,Community Infrastructure,244,129,0.5286885245901639
finance_broad_employment_strict,NGO,NPV,32,7,0.21875
finance_broad_employment_strict,NGO,IRR,32,2,0.0625
finance_broad_employment_strict,NGO,Geological Feasibility,32,4,0.125
finance_broad_employment_strict,NGO,Market Stability,32,1,0.03125
finance_broad_employment_strict,NGO,Local Employment,32,5,0.15625
finance_broad_employment_strict,NGO,Community Infrastructure,32,9,0.28125
