min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
1,1,salience_times_contention,0.0,NPV,0.25,0.06065103169962158,0.25,0.0
1,1,salience_times_contention,0.0,IRR,0.2,0.04744266234117985,0.2,0.0
1,1,salience_times_contention,0.0,Geological Feasibility,0.15,0.2013912775072274,0.15,0.0
1,1,salience_times_contention,0.0,Market Stability,0.15,0.07636327993463574,0.15,0.0
1,1,salience_times_contention,0.0,Local Employment,0.15,0.8605845116977221,0.15,0.0
1,1,salience_times_contention,0.0,Community Infrastructure,0.1,0.6649535170917107,0.1,0.0
1,1,salience_times_contention,0.1,NPV,0.25,0.06065103169962158,0.24509724028316582,-0.004902759716834182
1,1,salience_times_contention,0.1,IRR,0.2,0.04744266234117985,0.19582036674834488,-0.004179633251655129
1,1,salience_times_contention,0.1,Geological Feasibility,0.15,0.2013912775072274,0.1491155696358577,-0.0008844303641422913
1,1,salience_times_contention,0.1,Market Stability,0.15,0.07636327993463574,0.1472880129260612,-0.0027119870739387986
1,1,salience_times_contention,0.1,Local Employment,0.15,0.8605845116977221,0.15875111560625382,0.008751115606253829
1,1,salience_times_contention,0.1,Community Infrastructure,0.1,0.6649535170917107,0.10392769480031662,0.003927694800316614
1,1,salience_times_contention,0.3,NPV,0.25,0.06065103169962158,0.23600601185539183,-0.013993988144608172
1,1,salience_times_contention,0.3,IRR,0.2,0.04744266234117985,0.18807003778471112,-0.011929962215288886
1,1,salience_times_contention,0.3,Geological Feasibility,0.15,0.2013912775072274,0.1474755630001523,-0.0025244369998476957
1,1,salience_times_contention,0.3,Market Stability,0.15,0.07636327993463574,0.14225915256855862,-0.007740847431441378
1,1,salience_times_contention,0.3,Local Employment,0.15,0.8605845116977221,0.17497838260878276,0.024978382608782768
1,1,salience_times_contention,0.3,Community Infrastructure,0.1,0.6649535170917107,0.11121085218240336,0.01121085218240335
1,1,salience_times_contention,0.5,NPV,0.25,0.06065103169962158,0.22775689763201276,-0.02224310236798724
1,1,salience_times_contention,0.5,IRR,0.2,0.04744266234117985,0.1810376164350881,-0.018962383564911922
1,1,salience_times_contention,0.5,Geological Feasibility,0.15,0.2013912775072274,0.1459874690453571,-0.004012530954642907
1,1,salience_times_contention,0.5,Market Stability,0.15,0.07636327993463574,0.13769611206946308,-0.012303887930536911
1,1,salience_times_contention,0.5,Local Employment,0.15,0.8605845116977221,0.18970252908696192,0.039702529086961924
1,1,salience_times_contention,0.5,Community Infrastructure,0.1,0.6649535170917107,0.117819375731117,0.017819375731117
1,1,salience_times_contention,0.8,NPV,0.25,0.06065103169962158,0.21672286473712374,-0.03327713526287626
1,1,salience_times_contention,0.8,IRR,0.2,0.04744266234117985,0.17163103454020492,-0.028368965459795087
1,1,salience_times_contention,0.8,Geological Feasibility,0.15,0.2013912775072274,0.14399699137669286,-0.006003008623307132
