criterion,mode,delta,weight,change_from_base,criterion_pressure
NPV,base_no_revision,0.3,0.25,0.0,0.0
NPV,criterion_relevance_equal_actor_groups,0.3,0.23994842627375834,-0.010051573726241658,0.022916666666666665
NPV,criterion_relevance_document_volume,0.3,0.2397829837860733,-0.010217016213926705,0.016971279373368148
NPV,criterion_relevance_SIC_only,0.3,0.2398340557928116,-0.010165944207188388,0.023042844324809332
NPV,criterion_relevance_SIC_times_contention,0.3,0.23981957633087983,-0.01018042366912017,0.02054210097891803
IRR,base_no_revision,0.3,0.2,0.0,0.0
IRR,criterion_relevance_equal_actor_groups,0.3,0.19129107899290063,-0.008708921007099385,0.011243112947658401
IRR,criterion_relevance_document_volume,0.3,0.19122840894226395,-0.008771591057736061,0.006527415143603133
IRR,criterion_relevance_SIC_only,0.3,0.1911780287819798,-0.008821971218020225,0.010986238872266036
IRR,criterion_relevance_SIC_times_contention,0.3,0.19129767771136164,-0.008702322288638376,0.010787858382456408
Geological Feasibility,base_no_revision,0.3,0.15,0.0,0.0
Geological Feasibility,criterion_relevance_equal_actor_groups,0.3,0.1446300707126676,-0.005369929287332403,0.03832644628099173
Geological Feasibility,criterion_relevance_document_volume,0.3,0.14392585071726224,-0.006074149282737751,0.018276762402088774
Geological Feasibility,criterion_relevance_SIC_only,0.3,0.14449599826718973,-0.005504001732810265,0.03693397328231539
Geological Feasibility,criterion_relevance_SIC_times_contention,0.3,0.1445822532451518,-0.005417746754848185,0.03663667228034837
Market Stability,base_no_revision,0.3,0.15,0.0,0.0
Market Stability,criterion_relevance_equal_actor_groups,0.3,0.14379032323071778,-0.006209676769282219,0.01875
Market Stability,criterion_relevance_document_volume,0.3,0.14370160893478923,-0.006298391065210768,0.013054830287206266
Market Stability,criterion_relevance_SIC_only,0.3,0.14371530119901896,-0.006284698800981037,0.018724764468371468
Market Stability,criterion_relevance_SIC_times_contention,0.3,0.14373824918069225,-0.006261750819307743,0.016964352075031816
Local Employment,base_no_revision,0.3,0.15,0.0,0.0
Local Employment,criterion_relevance_equal_actor_groups,0.3,0.17134568181706594,0.021345681817065948,0.6611288206742753
Local Employment,criterion_relevance_document_volume,0.3,0.17330152422122697,0.02330152422122697,0.7023498694516971
Local Employment,criterion_relevance_SIC_only,0.3,0.17162072331531622,0.021620723315316226,0.6695990652359183
Local Employment,criterion_relevance_SIC_times_contention,0.3,0.1717708994329239,0.0217708994329239,0.6703584471836387
Community Infrastructure,base_no_revision,0.3,0.1,0.0,0.0
Community Infrastructure,criterion_relevance_equal_actor_groups,0.3,0.10899441897288961,0.008994418972889606,0.47803276269185363
Community Infrastructure,criterion_relevance_document_volume,0.3,0.10805962339838422,0.008059623398384216,0.4412532637075718
Community Infrastructure,criterion_relevance_SIC_only,0.3,0.10915589264368374,0.00915589264368373,0.4856430471183316
Community Infrastructure,criterion_relevance_SIC_times_contention,0.3,0.10879134409899047,0.008791344098990461,0.4702825142736961
